Warm Coat,500,100,2,0,0,0,0,0,0
Bronze Armor,1000,120,2,0,0,0,0,0,0
Steel Armor,4000,300,2,0,0,0,0,0,0
Iron Armor,10000,500,2,0,0,0,0,0,0
Sapphire Armor,20000,550,2,0,0,0,0,0,0
Spiral Armor,40000,600,2,0,0,0,0,0,0
Centaur Armor,60000,700,2,0,0,0,0,0,0
Golden Armor,250000,850,2,0,0,0,0,0,0
Ruby Armor,600000,900,2,0,0,0,0,0,0
Quartz Armor,1000000,1000,2,0,0,0,0,0,0
Bone Armor,1200000,1050,2,0,0,0,0,0,0
Dwaryven Armor,3000000,1100,2,0,0,0,0,0,0
Black Death,7000000,1200,2,0,0,0,0,0,0
Orc Armor,10000000,1400,2,0,0,0,0,0,0
Fairy Armor,15000000,1600,2,0,0,0,0,0,0
Frozen Armor,30000000,2000,2,0,0,0,0,0,0
Blue Ice Armor,70000000,2200,2,0,0,0,0,0,0
Wood Elf Armor,200000000,2400,2,0,0,0,0,0,0
Gold Sun Armor,800000000,2800,2,0,0,0,0,0,0
Aethra Armor,1000000000,2900,2,0,0,0,0,0,0
Divine Armor,2000000000,3000,2,0,0,0,0,0,0
SP Black Armor,7000000000,3500,2,0,0,0,0,0,0
Demonic Armor,9000000000,3600,2,0,0,0,0,0,0
Dragon Scale,10000000000,3800,2,0,0,0,0,0,0
Avatar Blood,1000000000000,5000,2,0,0,0,0,0,0
Mythreal Armor,6000000000000,6000,2,0,0,0,0,0,0
Leather Helmet,500,50,4,0,0,0,0,0,0
Iron Helmet,1000,100,4,0,0,0,0,0,0
Steel Helmet,5000,200,4,0,0,0,0,0,0
Bronze Helmet,9000,250,4,0,0,0,0,0,0
Quartz Helmet,15000,300,4,0,0,0,0,0,0
Saphire Helmet,30000,350,4,0,0,0,0,0,0
Silver Helmet,70000,450,4,0,0,0,0,0,0
Diamond Helmet,200000,500,4,0,0,0,0,0,0
Griffin Helmet,300000,600,4,0,0,0,0,0,0
Orc Battle Helmet,500000,700,4,0,0,0,0,0,0
Fire Druid Helmet,1000000,750,4,0,0,0,0,0,0
Demonic Helmet,3000000,800,4,0,0,0,0,0,0
Divine Helmet,5000000,850,4,0,0,0,0,0,0
Gold Helmet,8000000,900,4,0,0,0,0,0,0
Fairy Helmet,15000000,1100,4,0,0,0,0,0,0
Centaur Helmet,20000000,1300,4,0,0,0,0,0,0
Gladiator Helmet,50000000,1400,4,0,0,0,0,0,0
Wood Elf Helmet,200000000,1600,4,0,0,0,0,0,0
Death Helmet,4000000000,1800,4,0,0,0,0,0,0
Blood Helmet,9000000000,2000,4,0,0,0,0,0,0
Avatar Helmet,10000000000,2500,4,0,0,0,0,0,0
Cloth Pants,100,10,9,0,0,0,0,0,0
Iron Plate,500,20,9,0,0,0,0,0,0
Iron Mail,1000,30,9,0,0,0,0,0,0
Silver Plate,3000,40,9,0,0,0,0,0,0
Moon Pants,10000,100,9,0,0,0,0,0,0
Ivory Pants,40000,150,9,0,0,0,0,0,0
Blood Mail,100000,200,9,0,0,0,0,0,0
Orc Plate,300000,250,9,0,0,0,0,0,0
Emerald Mail,600000,300,9,0,0,0,0,0,0
Fire Plate,1000000,350,9,0,0,0,0,0,0
Demon Plate,2000000,400,9,0,0,0,0,0,0
Dragon Scales,10000000,450,9,0,0,0,0,0,0
Gold Plate,30000000,500,9,0,0,0,0,0,0
Avatar Plate,80000000,600,9,0,0,0,0,0,0
Wood Shield,500,50,3,0,0,0,0,0,0
Bronze Shield,1000,60,3,0,0,0,0,0,0
Steel Shield,4000,70,3,0,0,0,0,0,0
Iron Shield,8000,100,3,0,0,0,0,0,0
Kite Shield,25000,200,3,0,0,0,0,0,0
Diamond Shield,35000,300,3,0,0,0,0,0,0
Orc Battle Shield,50000,400,3,0,0,0,0,0,0
Elven Spirit Shield,250000,500,3,0,0,0,0,0,0
Demonic Spirit Shield,600000,600,3,0,0,0,0,0,0
Gold Shield,1000000,700,3,0,0,0,0,0,0
Diamond Laced Shield,1300000,800,3,0,0,0,0,0,0
Emerald Shield,3000000,900,3,0,0,0,0,0,0
Fire Sprout Shield,6000000,1000,3,0,0,0,0,0,0
Centaur Sky Shield,10000000,1100,3,0,0,0,0,0,0
Gnome Shield,15000000,1200,3,0,0,0,0,0,0
Silver Shield,30000000,1300,3,0,0,0,0,0,0
Moon Shield,60000000,1400,3,0,0,0,0,0,0
Sun Shield,200000000,1500,3,0,0,0,0,0,0
Platinum Shield,400000000,1600,3,0,0,0,0,0,0
Blue Order Shield,800000000,1700,3,0,0,0,0,0,0
Gargoyle Shield,1500000000,2000,3,0,0,0,0,0,0
Fairy Shield,5000000000,2100,3,0,0,0,0,0,0
Dwarven Shield,8000000000,2300,3,0,0,0,0,0,0
Dwarven Dragon Shield,15000000000,2400,3,0,0,0,0,0,0
War Shield,30000000000,2600,3,0,0,0,0,0,0
Dragon Shield,50000000000,2800,3,0,0,0,0,0,0
Undead Shield,90000000000,2900,3,0,0,0,0,0,0
Forged Hell Shield,100000000000,3000,3,0,0,0,0,0,0
Keurtiras Shield,200000000000,3200,3,0,0,0,0,0,0
Protector Shield,1000000000000,3400,3,0,0,0,0,0,0
Chaos Shield,50000000000000,3600,3,0,0,0,0,0,0
Heater Shield,1000000000000000,3700,3,0,0,0,0,0,0
Avatar Shield,80000000000000000,4000,3,0,0,0,0,0,0
Ragged Robe,200,10,5,0,0,0,0,0,0
Purple Robe,500,20,5,0,0,0,0,0,0
Green Robe,1000,40,5,0,0,0,0,0,0
Red Robe,20000,50,5,0,0,0,0,0,0
Yellow Robe,45000,80,5,0,0,0,0,0,0
Black Robe,80000,100,5,0,0,0,0,0,0
Usurper Robe,130000,150,5,0,0,0,0,0,0
Night Robe,400000,180,5,0,0,0,0,0,0
Nostro Robe,800000,200,5,0,0,0,0,0,0
Night Robe,1200000,230,5,0,0,0,0,0,0
Death Robe,2000000,400,5,0,0,0,0,0,0
Cloud Robe,4000000,450,5,0,0,0,0,0,0
Sky Robe,10000000,500,5,0,0,0,0,0,0
Wind Cape,30000000,550,5,0,0,0,0,0,0
Fire Cape,90000000,600,5,0,0,0,0,0,0
Avatar Cape,100000000,650,5,0,0,0,0,0,0
Hide Gloves,100,5,13,0,0,0,0,0,0
Leather Gloves,500,10,13,0,0,0,0,0,0
Iron Gloves,1000,20,13,0,0,0,0,0,0
Emerald Gloves,20000,40,13,0,0,0,0,0,0
Ruby Gauntlets,50000,60,13,0,0,0,0,0,0
Mystic Gauntlets,100000,70,13,0,0,0,0,0,0
Panthos Gauntlets,4000000,80,13,0,0,0,0,0,0
Light Gauntlets,100000000,100,13,0,0,0,0,0,0
Moon Gauntlets,400000000,150,13,0,0,0,0,0,0
Seths Gauntlets,800000000,180,13,0,0,0,0,0,0
Power Gloves,20000000000,190,13,0,0,0,0,0,0
Death Gauntlets,60000000000,200,13,0,0,0,0,0,0
Diamond Gauntlets,90000000000,500,13,0,0,0,0,0,0
Avatar Gauntlets,1000000000000,800,13,0,0,0,0,0,0
Leather Straps,400,10,8,0,0,0,0,0,0
Steel Straps,600,20,8,0,0,0,0,0,0
Seths Straps,1200,40,8,0,0,0,0,0,0
Death Straps,6000,80,8,0,0,0,0,0,0
Emerald Straps,70000,100,8,0,0,0,0,0,0
Hawk Straps,100000,200,8,0,0,0,0,0,0
Tiger Straps,1000000,300,8,0,0,0,0,0,0
Saphire Straps,10000000,400,8,0,0,0,0,0,0
Phoenix Straps,50000000,500,8,0,0,0,0,0,0
Moon Straps,700000000,600,8,0,0,0,0,0,0
Diamond Straps,300000000,700,8,0,0,0,0,0,0
Griffin Straps,500000000,800,8,0,0,0,0,0,0
Avatar Straps,2000000000,1000,8,0,0,0,0,0,0
Worn Sandles,200,5,12,0,0,0,0,0,0
Steel Boots,1000,10,12,0,0,0,0,0,0
Nastle Boots,2000,20,12,0,0,0,0,0,0
Light Steel Boots,10000,40,12,0,0,0,0,0,0
Heavy Steel Boots,60000,80,12,0,0,0,0,0,0
Iron Boots,90000,100,12,0,0,0,0,0,0
Brandels Boots,120000,120,12,0,0,0,0,0,0
Flexable Orc Boots,500000,140,12,0,0,0,0,0,0
Sea Serpent Scales,3250000,200,12,0,0,0,0,0,0
Divine Spirits,7500000,220,12,0,0,0,0,0,0
Demonic Power Boots,16000000,260,12,0,0,0,0,0,0
Air Boots,900000000,320,12,0,0,0,0,0,0
Dragon Boots,1200000000,380,12,0,0,0,0,0,0
Golden Boots,3400000000,420,12,0,0,0,0,0,0
Avatar Boots,10000000000,500,12,0,0,0,0,0,0
Wooden Ring,5000,30,10,0,0,0,0,0,0
Iron Ring,8000,5,10,20,0,0,0,0,0
Orc Ring,10000,10,10,0,0,0,20,0,0
Gerva Ring,12000,5,10,0,5,0,0,0,0
Bronze Ring,50000,100,10,0,0,0,0,0,0
Udeith Ring,80000,30,10,0,40,0,0,0,0
Hobbit Ring,50000,40,10,20,0,0,0,0,0
Green Ring,50000,20,10,0,0,40,40,0,0
Silver Ring,300000,300,10,0,0,0,0,0,0
Steel Ring,700000,200,10,0,0,100,0,0,0
Cami's Ring,800000,200,10,0,0,40,0,0,0
Black Ring,900000,100,10,60,0,0,0,60,0
Fire Ring,7000000,600,10,0,0,0,0,0,0
Tiger Ring,9000000,200,10,0,0,0,0,0,100
Zeus Ring,11000000,200,10,0,50,50,30,10,20
Cyclone Ring,15000000,100,10,0,120,120,100,0,0
Ruby Ring,30000000,800,10,0,0,0,0,0,0
JLo Ring,70000000,200,10,400,0,0,0,0,0
Star Ring,80000000,200,10,400,0,0,0,0,0
Moon Ring,90000000,300,10,0,70,0,0,0,0
White Ring,60000000,200,10,0,200,100,300,0,0
Diamond Ring,100000000,1500,10,0,0,0,0,0,0
Skeleton Ring,150000000,50,10,0,100,0,0,0,0
Gold Ring,4000000000,600,10,0,120,0,0,0,0
Copper Ring,9000000000,300,10,0,0,300,300,200,0
Jaded Ring,200000000000,2000,10,0,0,0,0,0,0
Death Ring,400000000000,800,10,0,800,0,0,0,0
Seth's Ring,700000000000,800,10,400,100,800,300,10,0
The One Ring,30000000000,1200,10,300,80,40,100,100,10
Ambroshia Ring,95000000000,3000,10,0,100,4000,400,300,100
Avatar Ring,2000000000000000,5000,10,400,3000,800,500,600,0
Bead Necklace,9000,0,6,0,3,2,0,0,0
Copper Necklace,25000,0,6,0,10,0,3,3,0
Turok Necklace,300000,0,6,0,30,0,0,0,10
Silver Necklace,1200000,0,6,0,40,15,0,0,0
Gold Necklace,3000000,0,6,0,80,20,0,0,0
Emerald Necklace,15000000,0,6,0,85,25,0,0,0
Cami's Necklace,50000000,0,6,0,90,30,0,0,0
Gold X2 Necklace,100000000,0,6,0,100,50,0,0,0
Moon Necklace,120000000,0,6,0,120,60,0,0,0
Bastil Necklace,3000000000,0,6,0,130,65,0,0,0
Divine Necklace,5000000000,0,6,0,150,75,0,0,0
Rainbow Necklace,10000000000,0,6,0,180,90,0,0,0
Orc Necklace,5000000000000,0,6,0,200,100,0,0,0
Demon Necklace,7000000000000,0,6,0,230,120,0,0,0
Dragon Necklace,10000000000000,0,6,0,280,130,0,0,0
Avatar Necklace,5000000000000000,0,6,0,400,190,0,0,0
Butcher Knife,600,20,0,0,0,0,0,0,0
Cleaver,1000,30,0,0,0,0,0,0,0
Pickaxe,2500,40,0,0,0,0,0,0,0
Wooden Club,3000,50,0,0,0,0,0,0,0
Sharp Dagger,6000,60,0,0,0,0,0,0,0
Razor Edge Blade,9000,70,0,0,0,0,0,0,0
Iron Club,12000,80,0,0,0,0,0,0,0
Wood Mace,20000,90,0,0,0,0,0,0,0
Silver Dagger,40000,100,0,0,0,0,0,0,0
Spiked Hand Axe,80000,110,0,0,0,0,0,0,0
Silver Mace,120000,120,0,0,0,0,0,0,0
Kryss,150000,130,0,0,0,0,0,0,0
Rusty Short Sword,250000,140,0,0,0,0,0,0,0
Short Sword,350000,160,0,0,0,0,0,0,0
Yazu Mace,800000,180,0,0,0,0,0,0,0
Short Blade,130000,200,0,0,0,0,0,0,0
Small Sabre,230000,220,0,0,0,0,0,0,0
Small Axe,300000,240,0,0,0,0,0,0,0
Bardiche,350000,260,0,0,0,0,0,0,0
Long Sword,380000,300,0,0,0,0,0,0,0
Small Lance,420000,340,0,0,0,0,0,0,0
Tribal Warhammer,480000,380,0,0,0,0,0,0,0
Long Sabre,550000,400,0,0,0,0,0,0,0
Spiked Club,620000,450,0,0,0,0,0,0,0
Elven Rapier,680000,500,0,0,0,0,0,0,0
Silver Axe,730000,550,0,0,0,0,0,0,0
Medium Lance,790000,600,0,0,0,0,0,0,0
Silver Sword,850000,650,0,0,0,0,0,0,0
Long Axe,890000,700,0,0,0,0,0,0,0
Steel Axe,910000,750,0,0,0,0,0,0,0
Blood Axe,950000,800,0,0,0,0,0,0,0
Battle Axe,1000000,850,0,0,0,0,0,0,0
Dwarfs Axe,1300000,900,0,0,0,0,0,0,0
Orc Sickle,1500000,950,0,0,0,0,0,0,0
Diamond Mace,1900000,1000,0,0,0,0,0,0,0
Emerald Mace,2200000,1100,0,0,0,0,0,0,0
Ebony Scythe,2700000,1200,0,0,0,0,0,0,0
Mithril Great Axe,3000000,1300,0,0,0,0,0,0,0
Troll Halberd,4000000,1400,0,0,0,0,0,0,0
Celestial Sword,4500000,1500,0,0,0,0,0,0,0
Bone Warhammer,5500000,1700,0,0,0,0,0,0,0
